page_number,line_up_name,first_name,last_name,party_code,answers
2,Københavns Storkreds,Anders Havelund,Krøyer,C,1 1 5 4 1 4 1 4 4 2 5 4 2 5 2 2 2 4 4 2 4 2 4 1 4
3,Østjyllands Storkreds,Anders Krojgaard,Lund,C,2 1 4 5 2 4 1 5 5 2 4 5 2 4 4 1 1 5 5 4 5 4 4 2 5
4,Københavns Storkreds,Anders,Storgaard,C,2 1 4 2 2 4 2 2 4 2 4 5 4 4 4 1 2 4 2 4 4 4 2 2 4
5,Fyns Storkreds,Anne,Fiber,C,2 2 4 2 4 4 2 1 4 4 4 5 4 2 5 2 2 4 4 4 2 5 1 1 1
6,Sjællands Storkreds,Barbara,Engelstoft,C,2 2 4 2 4 2 1 5 2 4 5 2 4 4 2 2 5 2 4 2 4 2 2 5
7,Nordsjællands Storkreds,Birgitte,Bergman,C,1 2 5 5 2 4 1 2 4 2 4 5 2 4 5 2 2 5 4 2 4 5 4 4 2
8,Østjyllands Storkreds,Bjørn,Jensen,C,2 2 2 4 4 4 1 2 5 2 4 5 2 4 2 4 2 5 4 4 4 4 4 2 4
9,UNKNOWN,,,,
10,Københavns Storkreds,Carina,Høedt,C,2 4 2 2 2 2 4 4 2 4 5 5 4 5 1 2 4 2 4 4 5 2 4 4
11,Østjyllands Storkreds,Caroline,Svejsø,C,2 2 5 4 4 4 1 4 5 2 4 4 2 4 2 2 2 5 2 2 4 4 5 1 4
12,UNKNOWN,,,,
13,Østjyllands Storkreds,Charlotte,Green,C,1 1 5 4 4 4 1 2 4 2 4 5 2 5 5 2 1 4 4 4 5 5 4 2 1
14,Københavns Omegns Storkreds,Christian,Vigilius,C,1 2 4 4 1 2 1 2 4 2 4 4 2 4 2 4 2 4 4 2 4 4 2 2 4
15,Sydjyllands Storkreds,Christina,Foldager,C,1 2 4 2 4 1 1 5 2 4 5 2 4 4 1 1 5 4 4 4 4 4 2
16,Sydjyllands Storkreds,Dan,Arnløv,C,2 1 5 4 2 4 1 2 5 1 2 5 2 5 2 4 2 5 2 4 4 4 4 2 4
17,Vestjyllands Storkreds,Dina,Andersen-Raabjerg,C,4 2 4 4 4 2 2 2 5 2 4 4 2 4 4 2 2 4 4 4 2 4 2 2 2
18,Københavns Omegns Storkreds,Dorte,Vilhelmsen,C,2 2 5 4 1 2 1 4 5 2 5 5 4 5 2 2 2 5 5 2 4 4 2 2 2
19,Nordsjællands Storkreds,Egil,Hulgaard,C,2 1 4 4 2 4 2 4 4 2 4 4 4 4 4 2 2 4 4 4 4 2 4 2 4
20,Nordsjællands Storkreds,Emma Juul,Hansen,C,1 1 4 4 2 4 1 4 4 2 4 5 2 4 4 2 2 4 4 2 4 4 4 1 2
21,Sydjyllands Storkreds,Frederik Bloch,Münster,C,2 2 4 4 4 4 1 2 4 2 5 4 2 4 2 2 2 5 4 2 4 5 4 2 2
22,Nordsjællands Storkreds,Frederik,Germann,C,1 4 4 5 2 2 2 5 4 2 4 4 2 4 4 4 2 5 4 1 5 5 4 2 1
23,Sydjyllands Storkreds,Gitte,Eriksen,C,1 2 5 5 2 2 1 4 5 1 4 5 2 5 5 2 1 5 4 4 4 5 4 2 2
24,Vestjyllands Storkreds,Gorm Hoff,Lauridsen,C,1 1 4 4 2 2 1 1 4 1 4 5 2 4 4 2 1 5 2 4 4 4 4 2 4
25,Københavns Storkreds,Helene,Fagerhøj,C,2 1 4 4 2 2 2 2 4 2 4 4 4 4 4 2 2 5 2 4 4 5 4 2 4
26,Københavns Storkreds,Helle,Bonnesen,C,1 2 5 5 2 4 1 2 4 2 4 5 4 4 4 2 1 5 2 4 5 4 4 2 4
27,Sjællands Storkreds,Henrik,Jacobsen,C,1 1 1 5 5 1 1 4 2 5 2 2 5 5 2 1 2 1 5 5 1 1 2
28,UNKNOWN,Ida,Dyhr,C,1 2 5 4 4 1 2 5 2 4 4 2 4 4 4 2 5 4 4 4 4 4 2 2
29,Københavns Omegns Storkreds,Isabella,Arendt,C,2 1 5 2 2 5 1 1 5 2 5 5 4 4 5 1 2 2 1 5 4 5 1 1 2
30,Sjællands Storkreds,Jacob,Stryhn,C,2 1 5 4 4 4 1 2 5 2 5 5 2 4 5 2 1 5 4 2 4 5 4 2 4
31,Østjyllands Storkreds,Jacob,Skjærris,C,1 1 4 4 2 2 1 2 4 2 4 4 2 5 2 2 1 4 4 4 5 4 4 2 2
32,Sjællands Storkreds,Jane,Christensen,C,2 4 5 5 2 2 1 2 5 2 5 5 2 5 5 4 1 5 5 2 2 4 4 1 1
33,Sydjyllands Storkreds,Jannie Boysen,Westergaard,C,2 2 5 2 4 1 2 2 5 4 4 5 4 4 4 4 1 4 4 4 4 4 4 4 4
34,Sydjyllands Storkreds,Jens Langer,Schou,C,1 1 5 5 2 1 1 2 5 1 5 4 4 5 2 4 1 5 4 1 5 2 5 1 1
35,Københavns Omegns Storkreds,Jette,Larsen,C,2 1 4 4 4 4 1 2 4 2 2 5 4 4 5 4 2 4 4 5 4 4 2 2 1
36,Fyns Storkreds,Joachim,Hoffmann-Petersen,C,2 1 5 5 4 2 1 4 4 2 4 5 2 5 5 2 1 5 5 1 5 4 4 2 4
37,Fyns Storkreds,Johan Emil,Sevelsted,C,1 2 5 5 2 4 1 4 5 2 4 5 2 5 5 5 1 5 2 1 4 5 5 2 2
38,Fyns Storkreds,John,Hoppe,C,2 2 5 2 2 2 2 4 4 2 4 5 4 4 2 4 1 4 2 4 4 4 2 1 2
39,Vestjyllands Storkreds,Jørgen Christian,Pedersen,C,1 2 5 4 5 1 1 2 5 2 5 5 1 4 5 5 1 5 4 2 5 1 2 2 1
40,Fyns Storkreds,Klavs Norup,Lauridsen,C,2 2 4 4 4 2 2 2 4 4 4 4 2 4 5 2 2 5 4 2 2 5 4 4 4
41,Sydjyllands Storkreds,Kristian,Thomsen,C,1 2 5 5 4 4 4 5 5 1 5 5 4 4 2 5 1 5 5 2 5 5 5 1 2
42,Bornholms Storkreds,Kristoffer,Kromand,C,2 2 4 4 4 4 2 2 4 2 4 4 4 4 4 2 2 4 4 2 4 4 4 2 2
43,Nordjyllands Storkreds,Laura,Holm,C,2 2 5 5 4 4 2 4 5 4 5 5 2 2 4 4 2 4 4 4 4 4 4 4 4
